,column1,Column2,Column3
393,,ONGKIE MULTI VENTURES LENDING INVESTORS INC.,23-May-17
394,,PALMERA LENDING INVESTOR CORP.,23-May-17
395,,PAUL & PATRICK LENDING INVESTORS INC.,23-May-17
396,,PLANTERS LENDING CORP.,23-May-17
397,,PRIMERICA CREDIT CORP.,23-May-17
398,,READY RESOURCES INVESTORS LENDING CORP.,23-May-17
399,,RED CARPET LENDING & CREDIT CORP.,23-May-17
400,,RSB LENDING INVESTORS INC.,23-May-17
401,,SAN MIGUEL CREDIT CORP.,23-May-17
402,,SARDONYX LENDING INVESTORS INC.,23-May-17
403,,"SEAGAL LENDING INVESTOR, INC.",23-May-17
404,,SINAG ARAW CREDIT CORP.,23-May-17
405,,SOUTH PEARL LENDING & CREDIT CORP.,23-May-17
406,,SVA LOANS & CREDIT CORP.,23-May-17
407,,SWISS CREDIT CORP.,23-May-17
408,,TAGAPAGLINGKOD CREDIT CORP.,23-May-17
409,,THAKURI LENDING CORP.,23-May-17
410,,THE UPHOLDER LENDING (PARANAQUE) CORP.,23-May-17
411,,TRENDLINES CREDIT CORP.,23-May-17
412,,TRIUMPH LOANS & CREDIT CORP.,23-May-17
413,,TRUE WORTH LENDING CORP.,23-May-17
414,,WINTHEX CREDIT INC.,23-May-17
415,"
				List of Revoked Lending Companies (Partnership)			",,
416,,2716 LENDING COMPANY,06-Jun-17
417,,3 KARATS LENDING INVESTOR CO.,06-Jun-17
418,,3K LENDING CENTER CO.,06-Jun-17
419,,4-LEAF CLOVER LENDING INVESTOR CO.,06-Jun-17
420,,5972 LENDING INVESTOR CO.,06-Jun-17
421,,5H FLEX LENDING SVCS. CO.,06-Jun-17
422,,7G LENDING SERVICES CO.,06-Jun-17
423,,A&C HERITAGE CO.,06-Jun-17
424,,A&G LENDING INVESTOR CO.,06-Jun-17
425,,A.K. 47 LENDING INVESTOR CO.,06-Jun-17
426,,A.S.M. LENDING & TRADING CO.,06-Jun-17
427,,ABRAM FAITH HOPE LENDING INVESTORS CO.,06-Jun-17
428,,ABS STAR LENDING INVESTORS CO.,06-Jun-17
429,,ACENIR LENDING INVESTOR CO.,06-Jun-17
430,,ADVAN LENDING INVESTOR CO.,06-Jun-17
431,,AGCRI LENDING INVESTOR CO.,06-Jun-17
432,,AGGARWAL LENDING & TRADING CO.,06-Jun-17
433,,AICOR RICH LENDING CO.,06-Jun-17
434,,AJ-A CONSUMER LENDING COMPANY,06-Jun-17
435,,AJAY LENDING & TRADING CO.,06-Jun-17
436,,AJS INTL. LENDING LTD. CO.,06-Jun-17
437,,AKAL C.I.P. LENDING INVESTOR & TRADING CO. LTD.,06-Jun-17
438,,ALADDIN LENDING & SVCS. CO.,06-Jun-17
439,,ALDON LENDING & LOAN CO.,06-Jun-17
440,,ALGI LENDING INVESTOR CO.,06-Jun-17
441,,ALL SEASONS CREDIT COMPANY,06-Jun-17
442,,ALM LENDING CO.,06-Jun-17
443,,ALTITUDE LENDING INVESTOR CO.,06-Jun-17
444,,AL-WEN CREDIT CO.,06-Jun-17
445,,ALZAS LENDING INVESTOR CO.,06-Jun-17
446,,AM 75 LENDING INVESTORS CO.,06-Jun-17
447,,AM PARTNER LENDING & CREDIT CO.,06-Jun-17
448,,AMAC LENDING CO.,06-Jun-17
449,,AMERIGO CREDIT CO.,06-Jun-17
450,,AMIT SOGI LENDING INVESTOR CO.,06-Jun-17
451,,AMRIT VEER LENDING & TRADING CO.,06-Jun-17
452,,ANAND CREDIT RESOURCES CO.,06-Jun-17
453,,ANAND ISHER LENDING & TRADING CO.,06-Jun-17
454,,ANCO LENDING CO.,06-Jun-17
455,,ANISH LENDING & TRADING CO. LTD.,06-Jun-17
456,,AR-LOU LENDING CO.,06-Jun-17
457,,ARRIETA & CO. LTD.,06-Jun-17
458,,AS DUBB LENDING INVESTOR CO.,06-Jun-17
459,,ASHRAM TRADING & CREDIT RESOURCES CO. LTD.,06-Jun-17
460,,ASHUTOSH AMOL LENDING & TRADING CO.,06-Jun-17
461,,ASSETS FORMING LENDING INVESTOR CO.,06-Jun-17
